t,real_f,real_v,RA_EKF,IpDFT
2.500000,59.000000,0.621956,58.976827,60.000000
2.500100,59.000000,0.650151,58.976500,60.000000
2.500200,59.000002,0.675750,58.976302,60.000000
2.500300,59.000004,0.706398,58.975827,60.000000
2.500400,59.000007,0.740168,58.975074,60.000000
2.500500,59.000011,0.750542,58.975209,60.000000
2.500600,59.000016,0.787560,58.974501,60.000000
2.500700,59.000022,0.794950,58.974642,60.000000
2.500800,59.000028,0.827952,58.974050,60.000000
2.500900,59.000036,0.845556,58.973747,60.000000
2.501000,59.000044,0.865872,58.973403,60.000000
2.501100,59.000054,0.888490,58.972926,60.000000
2.501200,59.000064,0.905282,58.972564,60.000000
2.501300,59.000075,0.914529,58.972448,60.000000
2.501400,59.000087,0.921573,58.972456,60.000000
2.501500,59.000100,0.949117,58.971752,60.000000
2.501600,59.000114,0.939709,58.971990,60.000000
2.501700,59.000128,0.963412,58.971421,60.000000
2.501800,59.000144,0.975059,58.970949,60.000000
2.501900,59.000160,0.980597,58.970658,60.000000
2.502000,59.000178,0.993637,58.970137,60.000000
2.502100,59.000196,0.992584,58.969965,60.000000
2.502200,59.000215,0.999280,58.969598,60.000000
2.502300,59.000235,1.000111,58.969325,60.000000
2.502400,59.000256,1.010028,58.968701,60.000000
2.502500,59.000278,1.001436,58.968600,60.000000
2.502600,59.000300,0.993688,58.968591,60.000000
2.502700,59.000324,0.996642,58.968136,60.000000
2.502800,59.000348,0.987264,58.967984,60.000000
2.502900,59.000373,0.985537,58.967548,60.000000
2.503000,59.000400,0.973671,58.967412,60.000000
2.503100,59.000427,0.970292,58.966917,60.000000
2.503200,59.000455,0.963067,58.966413,60.000000
2.503300,59.000484,0.943286,58.966501,60.000000
2.503400,59.000513,0.935175,58.966086,60.000000
2.503500,59.000544,0.924161,58.965580,60.000000
2.503600,59.000576,0.916012,58.964765,60.000000
2.503700,59.000608,0.902845,58.964050,60.000000
2.503800,59.000641,0.870978,58.964660,60.000000
2.503900,59.000675,0.858861,58.964181,60.000000
2.504000,59.000711,0.830718,58.964482,60.000000
2.504100,59.000746,0.812727,58.964154,60.000000
2.504200,59.000783,0.809332,58.962201,60.000000
2.504300,59.000821,0.770377,58.962756,60.000000
2.504400,59.000860,0.742354,58.963190,60.000000
2.504500,59.000899,0.721660,58.962669,60.000000
2.504600,59.000940,0.697797,58.961941,60.000000
2.504700,59.000981,0.664742,58.962304,60.000000
2.504800,59.001023,0.636676,58.962314,60.000000
2.504900,59.001066,0.613586,58.961122,60.000000
2.505000,59.001110,0.579263,58.961264,60.000000
2.505100,59.001155,0.539670,58.963285,60.000000
2.505200,59.001201,0.511714,58.963472,60.000000
2.505300,59.001247,0.477719,58.964124,60.000000
2.505400,59.001295,0.454137,58.961554,60.000000
2.505500,59.001343,0.416509,58.961487,60.000000
2.505600,59.001392,0.391802,58.957244,60.000000
2.505700,59.001443,0.343910,58.961396,60.000000
2.505800,59.001494,0.313360,58.961826,60.000000
2.505900,59.001546,0.283840,58.958010,60.000000
2.506000,59.001598,0.250007,58.953122,60.000000
2.506100,59.001652,0.200828,58.962863,60.000000
2.506200,59.001707,0.171373,58.963264,60.000000
2.506300,59.001762,0.127063,58.975689,60.000000
2.506400,59.001819,0.096564,58.977250,60.000000
2.506500,59.001876,0.059461,58.979823,60.000000
2.506600,59.001934,0.023715,58.980183,60.000000
2.506700,59.001993,-0.022843,59.001632,60.000000
2.506800,59.002053,-0.050343,58.998550,60.000000
2.506900,59.002114,-0.086950,58.995958,60.000000
2.507000,59.002175,-0.132362,59.004900,60.000000
2.507100,59.002238,-0.154273,58.996488,60.000000
2.507200,59.002301,-0.200964,58.998089,60.000000
2.507300,59.002366,-0.234106,58.997669,60.000000
2.507400,59.002431,-0.272229,58.997522,60.000000
2.507500,59.002497,-0.301310,58.997388,60.000000
2.507600,59.002564,-0.352632,58.995773,60.000000
2.507700,59.002632,-0.369785,58.996622,60.000000
2.507800,59.002701,-0.412870,58.995857,60.000000
2.507900,59.002771,-0.442407,58.995831,60.000000
2.508000,59.002841,-0.470676,58.996210,60.000000
2.508100,59.002913,-0.507046,58.995765,60.000000
2.508200,59.002985,-0.548418,58.994496,60.000000
2.508300,59.003058,-0.573729,58.994245,60.000000
2.508400,59.003132,-0.604513,58.993925,60.000000
2.508500,59.003207,-0.628306,58.993952,60.000000
2.508600,59.003283,-0.656610,58.993786,60.000000
2.508700,59.003360,-0.680076,58.993739,60.000000
2.508800,59.003437,-0.715265,58.993098,60.000000
2.508900,59.003516,-0.734397,58.992949,60.000000
2.509000,59.003595,-0.774197,58.992077,60.000000
2.509100,59.003676,-0.786906,58.991969,60.000000
2.509200,59.003757,-0.799115,58.992113,60.000000
2.509300,59.003839,-0.816803,58.992101,60.000000
2.509400,59.003922,-0.839888,58.991777,60.000000
2.509500,59.004006,-0.872045,58.991029,60.000000
2.509600,59.004090,-0.891048,58.990569,60.000000
2.509700,59.004176,-0.899749,58.990439,60.000000
2.509800,59.004262,-0.911561,58.990302,60.000000
2.509900,59.004350,-0.936651,58.989704,60.000000
2.510000,59.004438,-0.945912,58.989420,60.000000
2.510100,59.004527,-0.968572,58.988790,60.000000
2.510200,59.004617,-0.975456,58.988491,60.000000
2.510300,59.004708,-0.985436,58.988157,60.000000
2.510400,59.004800,-0.985230,58.988086,60.000000
2.510500,59.004893,-0.998849,58.987611,60.000000
2.510600,59.004986,-1.008698,58.987097,60.000000
2.510700,59.005081,-0.991449,58.987410,60.000000
2.510800,59.005176,-1.000998,58.987035,60.000000
2.510900,59.005272,-0.999123,58.986799,60.000000
2.511000,59.005369,-0.998960,58.986496,60.000000
2.511100,59.005467,-0.993951,58.986302,60.000000
2.511200,59.005566,-0.988182,58.986120,60.000000
2.511300,59.005666,-0.990309,58.985578,60.000000
2.511400,59.005766,-0.986692,58.985095,60.000000
2.511500,59.005868,-0.989998,58.984254,60.000000
2.511600,59.005970,-0.973770,58.984134,60.000000
2.511700,59.006074,-0.959773,58.984067,60.000000
2.511800,59.006178,-0.951154,58.983688,60.000000
2.511900,59.006283,-0.943576,58.983070,60.000000
2.512000,59.006389,-0.917463,58.983372,60.000000
2.512100,59.006495,-0.895425,58.983646,60.000000
2.512200,59.006603,-0.890971,58.982793,60.000000
2.512300,59.006712,-0.870165,58.982496,60.000000
2.512400,59.006821,-0.857381,58.981722,60.000000
