t,f
0,50.000240104629
1e-05,50.0002335981218
2e-05,50.0002270900723
3e-05,50.0002205802043
4e-05,50.0002140682429
5e-05,50.0002075539274
6e-05,50.0002010370061
7e-05,50.0001945172098
8e-05,50.0001879942653
9e-05,50.000181467903
0.0001,50.0001749378766
0.00011,50.0001684039714
0.00012,50.0001618660352
0.00013,50.0001553239583
0.00014,50.0001487776445
0.00015,50.0001422270418
0.00016,50.0001356721381
0.00017,50.0001291129395
0.00018,50.000122549514
0.00019,50.0001159820172
0.0002,50.0001094106652
0.00021,50.0001028357354
0.00022,50.0000962575435
0.00023,50.0000896764089
0.00024,50.00008309265
0.00025,50.0000765065846
0.00026,50.0000699185299
0.00027,50.0000633288022
0.00028,50.0000567377172
0.00029,50.0000501455901
0.0003,50.000043552735
0.00031,50.0000369594657
0.00032,50.000030366095
0.00033,50.0000237729352
0.00034,50.0000171802978
0.00035,50.0000105884936
0.00036,50.000003997833
0.00037,49.9999974086252
0.00038,49.9999908211791
0.00039,49.9999842358027
0.0004,49.9999776528035
0.00041,49.9999710724882
0.00042,49.9999644951628
0.00043,49.9999579211325
0.00044,49.9999513507022
0.00045,49.9999447841757
0.00046,49.9999382218564
0.00047,49.9999316640468
0.00048,49.9999251110488
0.00049,49.9999185631637
0.0005,49.999912020692
0.00051,49.9999054839337
0.00052,49.9998989531878
0.00053,49.999892428753
0.00054,49.999885910927
0.00055,49.9998794000071
0.00056,49.9998728962896
0.00057,49.9998664000705
0.00058,49.9998599116448
0.00059,49.999853431307
0.0006,49.9998469593509
0.00061,49.9998404960696
0.00062,49.9998340417556
0.00063,49.9998275967006
0.00064,49.9998211611957
0.00065,49.9998147355314
0.00066,49.9998083199974
0.00067,49.9998019148828
0.00068,49.9997955204761
0.00069,49.999789137065
0.0007,49.9997827649366
0.00071,49.9997764043773
0.00072,49.9997700556729
0.00073,49.9997637191085
0.00074,49.9997573949687
0.00075,49.999751083537
0.00076,49.9997447850967
0.00077,49.9997384999302
0.00078,49.9997322283194
0.00079,49.9997259705452
0.0008,49.9997197268884
0.00081,49.9997134976286
0.00082,49.999707283045
0.00083,49.9997010834162
0.00084,49.99969489902
0.00085,49.9996887301337
0.00086,49.9996825770337
0.00087,49.999676439996
0.00088,49.9996703192958
0.00089,49.9996642152077
0.0009,49.9996581280057
0.00091,49.9996520579631
0.00092,49.9996460053525
0.00093,49.9996399704459
0.00094,49.9996339535147
0.00095,49.9996279548295
0.00096,49.9996219746605
0.00097,49.9996160132771
0.00098,49.999610070948
0.00099,49.9996041479414
0.001,49.9995982445247
0.00101,49.9995923609649
0.00102,49.999586497528
0.00103,49.9995806544797
0.00104,49.999574832085
0.00105,49.999569030608
0.00106,49.9995632503124
0.00107,49.9995574914613
0.00108,49.999551754317
0.00109,49.9995460391412
0.0011,49.9995403461952
0.00111,49.9995346757392
0.00112,49.9995290280333
0.00113,49.9995234033365
0.00114,49.9995178019075
0.00115,49.9995122240041
0.00116,49.9995066698838
0.00117,49.9995011398032
0.00118,49.9994956340183
0.00119,49.9994901527846
0.0012,49.9994846963569
0.00121,49.9994792649893
0.00122,49.9994738589354
0.00123,49.9994684784481
0.00124,49.9994631237797
0.00125,49.9994577951819
0.00126,49.9994524929057
0.00127,49.9994472172016
0.00128,49.9994419683193
0.00129,49.9994367465082
0.0013,49.9994315520166
0.00131,49.9994263850926
0.00132,49.9994212459835
0.00133,49.9994161349361
0.00134,49.9994110521964
0.00135,49.9994059980098
0.00136,49.9994009726214
0.00137,49.9993959762753
0.00138,49.9993910092151
0.00139,49.9993860716839
0.0014,49.9993811639241
0.00141,49.9993762861776
0.00142,49.9993714386854
0.00143,49.9993666216882
0.00144,49.999361835426
0.00145,49.999357080138
0.00146,49.9993523560632
0.00147,49.9993476634396
0.00148,49.9993430025048
0.00149,49.9993383734957
0.0015,49.9993337766487
0.00151,49.9993292121995
0.00152,49.9993246803832
0.00153,49.9993201814343
0.00154,49.9993157155868
0.00155,49.999311283074
0.00156,49.9993068841287
0.00157,49.9993025189829
0.00158,49.9992981878681
0.00159,49.9992938910154
0.0016,49.9992896286551
0.00161,49.9992854010103
0.00162,49.9992812080585
0.00163,49.9992770494588
0.00164,49.9992729248496
0.00165,49.9992688338697
0.00166,49.999264776159
0.00167,49.9992607513578
0.00168,49.9992567591073
0.00169,49.9992527990493
0.0017,49.9992488708265
0.00171,49.9992449740821
0.00172,49.9992411084601
0.00173,49.9992372736053
0.00174,49.999233469163
0.00175,49.9992296947795
0.00176,49.9992259501015
0.00177,49.9992222347767
0.00178,49.9992185484533
0.00179,49.9992148907803
0.0018,49.9992112614073
0.00181,49.9992076599849
0.00182,49.999204086164
0.00183,49.9992005395965
0.00184,49.9991970199349
0.00185,49.9991935268325
0.00186,49.9991900599431
0.00187,49.9991866189214
0.00188,49.9991832034227
0.00189,49.9991798131031
0.0019,49.9991764476192
0.00191,49.9991731066286
0.00192,49.9991697897893
0.00193,49.9991664967602
0.00194,49.9991632272008
0.00195,49.9991599807713
0.00196,49.9991567571327
0.00197,49.9991535559466
0.00198,49.9991503768753
0.00199,49.9991472195818
0.002,49.9991440837298
0.00201,49.9991409689837
0.00202,49.9991378750087
0.00203,49.9991348014704
0.00204,49.9991317480354
0.00205,49.9991287143708
0.00206,49.9991257001445
0.00207,49.999122705025
0.00208,49.9991197286816
0.00209,49.9991167707841
0.0021,49.9991138310032
0.00211,49.9991109090102
0.00212,49.9991080044771
0.00213,49.9991051170764
0.00214,49.9991022464816
0.00215,49.9990993923667
0.00216,49.9990965544064
0.00217,49.9990937322761
0.00218,49.9990909256519
0.00219,49.9990881342105
0.0022,49.9990853576293
0.00221,49.9990825955865
0.00222,49.9990798477609
0.00223,49.9990771138319
0.00224,49.9990743934797
0.00225,49.9990716863851
0.00226,49.9990689922296
0.00227,49.9990663106954
0.00228,49.9990636414653
0.00229,49.9990609842228
0.0023,49.9990583386522
0.00231,49.9990557044383
0.00232,49.9990530812666
0.00233,49.9990504688234
0.00234,49.9990478667955
0.00235,49.9990452748705
0.00236,49.9990426927365
0.00237,49.9990401200825
0.00238,49.9990375565981
0.00239,49.9990350019733
0.0024,49.9990324558992
0.00241,49.9990299180672
0.00242,49.9990273881696
0.00243,49.9990248658993
0.00244,49.9990223509497
0.00245,49.9990198430151
0.00246,49.9990173418115
0.00247,49.9990148470989
0.00248,49.9990123586419
0.00249,49.9990098762049
0.0025,49.9990073995469
0.00251,49.9990049284267
0.00252,49.9990024626977
0.00253,49.9990000023393
0.00254,49.9989975471516
0.00255,49.9989950970151
0.00256,49.9989926519183
0.00257,49.9989902116503
0.00258,49.9989877759711
0.00259,49.9989853446551
0.0026,49.9989829174766
0.00261,49.9989804942144
0.00262,49.9989780747757
0.00263,49.9989756591981
