t,real_f,real_v,RA_EKF,IpDFT
2.500000,63.000000,0.996130,62.991643,60.000000
2.500100,63.000200,0.987478,62.991788,60.000000
2.500200,63.000400,0.978913,62.992188,60.000000
2.500300,63.000600,1.002839,62.991333,60.000000
2.500400,63.000800,0.991269,62.991060,60.000000
2.500500,63.001000,0.967553,62.991666,60.000000
2.500600,63.001200,0.951376,62.992477,60.000000
2.500700,63.001400,0.946163,62.992849,60.000000
2.500800,63.001600,0.936747,62.993048,60.000000
2.500900,63.001800,0.927688,62.993031,60.000000
2.501000,63.002000,0.901246,62.993709,60.000000
2.501100,63.002200,0.893503,62.993776,60.000000
2.501200,63.002400,0.894951,62.992758,60.000000
2.501300,63.002600,0.857234,62.993257,60.000000
2.501400,63.002800,0.818902,62.994881,60.000000
2.501500,63.003000,0.815500,62.994863,60.000000
2.501600,63.003200,0.789349,62.995154,60.000000
2.501700,63.003400,0.778691,62.994380,60.000000
2.501800,63.003600,0.728366,62.995983,60.000000
2.501900,63.003800,0.720220,62.995623,60.000000
2.502000,63.004000,0.678710,62.996768,60.000000
2.502100,63.004200,0.675038,62.995133,60.000000
2.502200,63.004400,0.647523,62.993571,60.000000
2.502300,63.004600,0.606664,62.993606,60.000000
2.502400,63.004800,0.565021,62.995079,60.000000
2.502500,63.005000,0.513822,62.999211,60.000000
2.502600,63.005200,0.520967,62.996287,60.000000
2.502700,63.005400,0.449984,63.000364,60.000000
2.502800,63.005600,0.431766,63.000834,60.000000
2.502900,63.005800,0.424243,62.995232,60.000000
2.503000,63.006000,0.375305,62.993102,60.000000
2.503100,63.006200,0.331314,62.993105,60.000000
2.503200,63.006400,0.285409,62.995873,60.000000
2.503300,63.006600,0.259068,62.994683,60.000000
2.503400,63.006800,0.220806,62.993596,60.000000
2.503500,63.007000,0.186893,62.990504,60.000000
2.503600,63.007200,0.116018,63.003445,60.000000
2.503700,63.007400,0.115525,62.995652,60.000000
2.503800,63.007600,0.060390,62.997374,60.000000
2.503900,63.007800,0.027276,62.995298,60.000000
2.504000,63.008000,-0.015090,62.995500,60.000000
2.504100,63.008200,-0.050743,62.993390,60.000000
2.504200,63.008400,-0.082602,62.986864,60.000000
2.504300,63.008600,-0.122967,62.982613,60.000000
2.504400,63.008800,-0.149466,62.972913,60.000000
2.504500,63.009000,-0.201561,62.972802,60.000000
2.504600,63.009200,-0.232331,62.970316,60.000000
2.504700,63.009400,-0.285819,62.973748,60.000000
2.504800,63.009600,-0.322697,62.975884,60.000000
2.504900,63.009800,-0.339751,62.974212,60.000000
2.505000,63.010000,-0.399608,62.975704,60.000000
2.505100,63.010200,-0.423020,62.975836,60.000000
2.505200,63.010400,-0.463313,62.976022,60.000000
2.505300,63.010600,-0.640093,62.975988,60.000000
2.505400,63.010800,-0.532597,62.976019,60.000000
2.505500,63.011000,-0.557966,62.976334,60.000000
2.505600,63.011200,-0.618451,62.975249,60.000000
2.505700,63.011400,-0.604750,62.976656,60.000000
2.505800,63.011600,-0.669043,62.975945,60.000000
2.505900,63.011800,-0.683036,62.976267,60.000000
2.506000,63.012000,-0.738123,62.975056,60.000000
2.506100,63.012200,-0.744125,62.975345,60.000000
2.506200,63.012400,-0.771416,62.975511,60.000000
